Drive_SAdam
There are 6742 1's and 6265 7's in training data
There are 1135 1's and 1028 7's in test data
Initially: f = 2.789770e+01, nor(g) = 1.939665e+01
iter 2: f = 2.648073e+01, norg = 1.916259e+01
iter 3: f = 2.529551e+01, norg = 1.875450e+01
iter 4: f = 2.417514e+01, norg = 1.819589e+01
iter 5: f = 2.315329e+01, norg = 1.754428e+01
iter 6: f = 2.221941e+01, norg = 1.695420e+01
iter 7: f = 2.138239e+01, norg = 1.625777e+01
iter 8: f = 2.064489e+01, norg = 1.564376e+01
iter 9: f = 1.998202e+01, norg = 1.516131e+01
iter 10: f = 1.938320e+01, norg = 1.470701e+01
iter 11: f = 1.882828e+01, norg = 1.429571e+01
iter 12: f = 1.829448e+01, norg = 1.393159e+01
iter 13: f = 1.778447e+01, norg = 1.362443e+01
iter 14: f = 1.725914e+01, norg = 1.341444e+01
iter 15: f = 1.672454e+01, norg = 1.323158e+01
iter 16: f = 1.619559e+01, norg = 1.304444e+01
iter 17: f = 1.565395e+01, norg = 1.287601e+01
iter 18: f = 1.510482e+01, norg = 1.270770e+01
iter 19: f = 1.453928e+01, norg = 1.256141e+01
iter 20: f = 1.396596e+01, norg = 1.243669e+01
iter 21: f = 1.339111e+01, norg = 1.232155e+01
iter 22: f = 1.280496e+01, norg = 1.222899e+01
iter 23: f = 1.220726e+01, norg = 1.216426e+01
iter 24: f = 1.161195e+01, norg = 1.210802e+01
iter 25: f = 1.100552e+01, norg = 1.205808e+01
iter 26: f = 1.039492e+01, norg = 1.202399e+01
iter 27: f = 9.782816e+00, norg = 1.199844e+01
iter 28: f = 9.165063e+00, norg = 1.199282e+01
iter 29: f = 8.549057e+00, norg = 1.199800e+01
iter 30: f = 7.934112e+00, norg = 1.199333e+01
iter 31: f = 7.326230e+00, norg = 1.196722e+01
iter 32: f = 6.730824e+00, norg = 1.196630e+01
iter 33: f = 6.149355e+00, norg = 1.197641e+01
iter 34: f = 5.588566e+00, norg = 1.197492e+01
iter 35: f = 5.063352e+00, norg = 1.199649e+01
iter 36: f = 4.577546e+00, norg = 1.217570e+01
iter 37: f = 4.155086e+00, norg = 1.244374e+01
iter 38: f = 3.805688e+00, norg = 1.263401e+01
iter 39: f = 3.503766e+00, norg = 1.241350e+01
iter 40: f = 3.156324e+00, norg = 1.159819e+01
iter 41: f = 2.765777e+00, norg = 1.033194e+01
iter 42: f = 2.428949e+00, norg = 8.942666e+00
iter 43: f = 2.171525e+00, norg = 7.739247e+00
