Drive_SNAG
There are 6742 1's and 6265 7's in training data
There are 1135 1's and 1028 7's in test data
Initially: f = 3.493136e+01, nor(g) = 1.948851e+01
iter 2: f = 3.455907e+01, norg = 1.929884e+01
iter 3: f = 3.403086e+01, norg = 1.897024e+01
iter 4: f = 3.325025e+01, norg = 1.847077e+01
iter 5: f = 3.247568e+01, norg = 1.804679e+01
iter 6: f = 3.163045e+01, norg = 1.764409e+01
iter 7: f = 3.071915e+01, norg = 1.725102e+01
iter 8: f = 2.972801e+01, norg = 1.683765e+01
iter 9: f = 2.874040e+01, norg = 1.642613e+01
iter 10: f = 2.776418e+01, norg = 1.604822e+01
iter 11: f = 2.674861e+01, norg = 1.564574e+01
iter 12: f = 2.574796e+01, norg = 1.526212e+01
iter 13: f = 2.472203e+01, norg = 1.476502e+01
iter 14: f = 2.365210e+01, norg = 1.427975e+01
iter 15: f = 2.262405e+01, norg = 1.375854e+01
iter 16: f = 2.160112e+01, norg = 1.323368e+01
iter 17: f = 2.056128e+01, norg = 1.267662e+01
iter 18: f = 1.953710e+01, norg = 1.210460e+01
iter 19: f = 1.854934e+01, norg = 1.148952e+01
iter 20: f = 1.760469e+01, norg = 1.091668e+01
iter 21: f = 1.673185e+01, norg = 1.042278e+01
iter 22: f = 1.588069e+01, norg = 9.954283e+00
iter 23: f = 1.506696e+01, norg = 9.484173e+00
iter 24: f = 1.429215e+01, norg = 9.053105e+00
iter 25: f = 1.356880e+01, norg = 8.636648e+00
iter 26: f = 1.288207e+01, norg = 8.236371e+00
iter 27: f = 1.222435e+01, norg = 7.854528e+00
iter 28: f = 1.160535e+01, norg = 7.477346e+00
iter 29: f = 1.102647e+01, norg = 7.107827e+00
iter 30: f = 1.047049e+01, norg = 6.748895e+00
iter 31: f = 9.944867e+00, norg = 6.378383e+00
iter 32: f = 9.452004e+00, norg = 6.029961e+00
iter 33: f = 9.002267e+00, norg = 5.718958e+00
iter 34: f = 8.584861e+00, norg = 5.467434e+00
iter 35: f = 8.185315e+00, norg = 5.216988e+00
iter 36: f = 7.806802e+00, norg = 4.977516e+00
iter 37: f = 7.449359e+00, norg = 4.777813e+00
iter 38: f = 7.108673e+00, norg = 4.555148e+00
iter 39: f = 6.798347e+00, norg = 4.356318e+00
iter 40: f = 6.509653e+00, norg = 4.164950e+00
iter 41: f = 6.241876e+00, norg = 4.000377e+00
iter 42: f = 5.979773e+00, norg = 3.830625e+00
iter 43: f = 5.732263e+00, norg = 3.680882e+00
iter 44: f = 5.493131e+00, norg = 3.520907e+00
iter 45: f = 5.273393e+00, norg = 3.359991e+00
iter 46: f = 5.066401e+00, norg = 3.236879e+00
iter 47: f = 4.865809e+00, norg = 3.138674e+00
iter 48: f = 4.679718e+00, norg = 3.014821e+00
