Drive_SGD
There are 6742 1's and 6265 7's in training data
There are 1135 1's and 1028 7's in test data
Initially: f = 3.493136e+01, nor(g) = 1.948851e+01
iter 0: f = 2.133458e+01, norg = 1.619016e+01
iter 1: f = 2.158113e+00, norg = 1.721271e+00
iter 2: f = 2.048818e+00, norg = 1.652902e+00
iter 3: f = 1.972357e+00, norg = 1.336987e+00
iter 4: f = 1.904471e+00, norg = 1.175023e+00
iter 5: f = 1.865788e+00, norg = 1.134087e+00
iter 6: f = 1.834220e+00, norg = 1.119335e+00
iter 7: f = 1.808179e+00, norg = 1.112927e+00
iter 8: f = 1.785932e+00, norg = 1.109802e+00
iter 9: f = 1.766516e+00, norg = 1.108129e+00
iter 10: f = 1.749367e+00, norg = 1.107155e+00
iter 11: f = 1.734079e+00, norg = 1.106543e+00
iter 12: f = 1.720321e+00, norg = 1.106124e+00
iter 13: f = 1.707799e+00, norg = 1.105810e+00
iter 14: f = 1.696287e+00, norg = 1.105549e+00
iter 15: f = 1.685621e+00, norg = 1.105307e+00
iter 16: f = 1.675680e+00, norg = 1.105058e+00
iter 17: f = 1.666372e+00, norg = 1.104777e+00
iter 18: f = 1.657625e+00, norg = 1.104443e+00
iter 19: f = 1.649376e+00, norg = 1.104030e+00
iter 20: f = 1.641573e+00, norg = 1.103513e+00
iter 21: f = 1.634170e+00, norg = 1.102862e+00
iter 22: f = 1.627132e+00, norg = 1.102047e+00
iter 23: f = 1.620428e+00, norg = 1.101035e+00
iter 24: f = 1.614035e+00, norg = 1.099798e+00
iter 25: f = 1.607934e+00, norg = 1.098309e+00
iter 26: f = 1.602109e+00, norg = 1.096551e+00
iter 27: f = 1.596546e+00, norg = 1.094517e+00
iter 28: f = 1.591231e+00, norg = 1.092216e+00
iter 29: f = 1.586152e+00, norg = 1.089671e+00
iter 30: f = 1.581299e+00, norg = 1.086923e+00
iter 31: f = 1.576661e+00, norg = 1.084027e+00
iter 32: f = 1.572228e+00, norg = 1.081046e+00
iter 33: f = 1.567993e+00, norg = 1.078046e+00
iter 34: f = 1.563946e+00, norg = 1.075091e+00
iter 35: f = 1.560080e+00, norg = 1.072236e+00
iter 36: f = 1.556385e+00, norg = 1.069525e+00
iter 37: f = 1.552850e+00, norg = 1.066988e+00
iter 38: f = 1.549464e+00, norg = 1.064644e+00
iter 39: f = 1.546218e+00, norg = 1.062500e+00
iter 40: f = 1.543100e+00, norg = 1.060554e+00
iter 41: f = 1.540103e+00, norg = 1.058795e+00
iter 42: f = 1.537218e+00, norg = 1.057212e+00
iter 43: f = 1.534437e+00, norg = 1.055786e+00
iter 44: f = 1.531753e+00, norg = 1.054500e+00
iter 45: f = 1.529160e+00, norg = 1.053334e+00
iter 46: f = 1.526651e+00, norg = 1.052269e+00
iter 47: f = 1.524221e+00, norg = 1.051284e+00
iter 48: f = 1.521865e+00, norg = 1.050360e+00
iter 49: f = 1.519578e+00, norg = 1.049476e+00
iter 50: f = 1.517355e+00, norg = 1.048609e+00
iter 51: f = 1.515193e+00, norg = 1.047737e+00
iter 52: f = 1.513089e+00, norg = 1.046835e+00
iter 53: f = 1.511038e+00, norg = 1.045874e+00
iter 54: f = 1.509038e+00, norg = 1.044823e+00
iter 55: f = 1.507087e+00, norg = 1.043648e+00
iter 56: f = 1.505181e+00, norg = 1.042308e+00
iter 57: f = 1.503319e+00, norg = 1.040758e+00
iter 58: f = 1.501499e+00, norg = 1.038948e+00
iter 59: f = 1.499717e+00, norg = 1.036822e+00
iter 60: f = 1.497973e+00, norg = 1.034319e+00
iter 61: f = 1.496265e+00, norg = 1.031373e+00
iter 62: f = 1.494592e+00, norg = 1.027916e+00
iter 63: f = 1.492951e+00, norg = 1.023881e+00
iter 64: f = 1.491342e+00, norg = 1.019205e+00
iter 65: f = 1.489764e+00, norg = 1.013830e+00
iter 66: f = 1.488215e+00, norg = 1.007716e+00
iter 67: f = 1.486696e+00, norg = 1.000839e+00
iter 68: f = 1.485204e+00, norg = 9.931981e-01
iter 69: f = 1.483740e+00, norg = 9.848225e-01
iter 70: f = 1.482303e+00, norg = 9.757692e-01
iter 71: f = 1.480892e+00, norg = 9.661244e-01
iter 72: f = 1.479507e+00, norg = 9.559990e-01
iter 73: f = 1.478148e+00, norg = 9.455229e-01
iter 74: f = 1.476813e+00, norg = 9.348365e-01
iter 75: f = 1.475503e+00, norg = 9.240822e-01
iter 76: f = 1.474218e+00, norg = 9.133963e-01
iter 77: f = 1.472956e+00, norg = 9.029015e-01
